VOLL,Demand_Segment,Cost_of_Demand_Curtailment_per_MMBTU,Max_Demand_Curtailment,CO2_tons_per_MMBTU,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,z1,z2,z3
1000,1,1,0,0.053,1,365,1,1,1.1547244768161734e6,466474.6884723394,231656.36191270128
,,,,,,,,2,1.2119046940340567e6,589936.7956663261,260399.02126728732
,,,,,,,,3,1.0135328434931155e6,547083.8921376949,236150.763756983
,,,,,,,,4,1.19248438305626e6,579793.1667476184,240273.21181382705
,,,,,,,,5,1.5198524395305375e6,703717.792419081,274551.05546878366
,,,,,,,,6,1.4444917057899341e6,806477.0246286108,295298.448750585
,,,,,,,,7,1.201967216357653e6,752440.7023890773,259394.55155986585
,,,,,,,,8,1.3047017256889206e6,788415.5536122482,298804.6376021188
,,,,,,,,9,1.536219675554242e6,706594.7467417043,286871.29947367025
,,,,,,,,10,1.5466733162934813e6,642357.2040922762,276753.9270347871
,,,,,,,,11,1.5381853426520037e6,671796.3910024847,312147.3987966227
,,,,,,,,12,1.492648125579344e6,664876.0320702884,310241.08027439466
,,,,,,,,13,1.3487673624538514e6,547758.8379679798,253967.9526540767
,,,,,,,,14,1.3976423736397913e6,518231.5986502336,209249.073858946
,,,,,,,,15,1.5541258853337574e6,711855.0699233081,252083.3967639281
,,,,,,,,16,1.3763724587242021e6,788629.4214322522,261926.6689844461
,,,,,,,,17,1.5196697175333442e6,779682.8179288964,316557.08379021223
,,,,,,,,18,1.6696448124009462e6,964034.409006108,370145.0456001452
,,,,,,,,19,1.5681081620209292e6,871250.7077482397,368550.1753465312
,,,,,,,,20,1.4853233886165519e6,817235.0340428378,315829.79489461926
,,,,,,,,21,1.3853558327927582e6,1.0067692226406921e6,364362.0190665245
,,,,,,,,22,1.707881834942377e6,1.0406195174755576e6,359849.7025508795
,,,,,,,,23,1.8460407537083062e6,969943.8881859279,386472.012979052
,,,,,,,,24,1.5736764729085944e6,888818.6841720867,353294.61681252334
,,,,,,,,25,1.4359764856956329e6,788794.5708797083,296760.7084746864
,,,,,,,,26,1.2388971824886296e6,824112.4448992283,365994.6853375138
,,,,,,,,27,1.119921801503528e6,953538.1907626024,396033.2925084939
,,,,,,,,28,1.290530213601159e6,953867.5764809737,355739.80558493483
,,,,,,,,29,1.31385459086705e6,880859.0449642056,340527.4925878764
,,,,,,,,30,1.25386163328031e6,667429.7198875739,305144.9437768672
,,,,,,,,31,1.34394595729784e6,796844.7288757205,306949.81909618987
,,,,,,,,32,1.493632913408058e6,835579.2583266075,318147.43368272245
,,,,,,,,33,1.5313295562093698e6,800799.2787810448,285170.44804478943
,,,,,,,,34,1.342732095516461e6,866248.5707835298,319927.4263633097
,,,,,,,,35,1.2536396088694548e6,877433.3481074709,348155.74566915364
,,,,,,,,36,1.3317322928186175e6,783391.8962113402,320028.7614051049
,,,,,,,,37,1.529652306997905e6,722963.683370729,357626.5236415118
,,,,,,,,38,1.4953071922306928e6,731300.7096851344,375680.1744098902
,,,,,,,,39,1.5071427231112658e6,768468.559944761,293642.1571386816
,,,,,,,,40,1.4056361847760254e6,737846.8350027078,281999.238434724
,,,,,,,,41,1.2148013406013069e6,758075.695509531,268029.1071653631
,,,,,,,,42,1.2055330728146497e6,708213.5697694295,273736.9777183891
,,,,,,,,43,1.2180024825860285e6,811293.8357869236,332940.6269735688
,,,,,,,,44,1.345570445511874e6,834623.9048474323,346201.231187732
,,,,,,,,45,1.3324660233797478e6,805735.9770809608,331523.9129404465
,,,,,,,,46,1.4070861394968685e6,730258.426186723,291429.8452314207
,,,,,,,,47,1.5783506771129083e6,785066.3218573227,281161.6624389566
,,,,,,,,48,1.5901868354757135e6,783011.3112675672,288335.39505714184
,,,,,,,,49,1.3547163727882206e6,651578.4252517754,266921.00952682056
,,,,,,,,50,1.2194485094035906e6,646129.3071840695,262895.1736805614
,,,,,,,,51,1.0904921184929225e6,505278.0359264726,217066.28142327513
,,,,,,,,52,1.1101643711495446e6,465709.3184443128,216389.4325861774
,,,,,,,,53,1.1850142459364727e6,454186.1672992079,214398.17654960873
,,,,,,,,54,1.123448787935964e6,589076.1980025831,237958.3746974847
,,,,,,,,55,1.1939172828924516e6,577319.764598063,223472.22403231982
,,,,,,,,56,1.1532289178994019e6,592534.2795526613,253478.72450061483
,,,,,,,,57,1.2301041352062703e6,598356.7775824028,308405.04134956776
,,,,,,,,58,1.192405632573031e6,588860.813316869,284736.0557721097
,,,,,,,,59,1.1321867733358906e6,573286.8640267125,251821.58117688767
,,,,,,,,60,910929.5433797245,520924.1252355267,295271.64436228864
,,,,,,,,61,912194.5890748336,502192.0151158982,237271.40185270557
,,,,,,,,62,1.1092574331368117e6,491317.7300570477,270104.7920180699
,,,,,,,,63,1.0256772676488234e6,452211.63472232723,274969.2736827264
,,,,,,,,64,968346.9197115807,497850.4574617252,226178.7726200901
,,,,,,,,65,1.0335965072634049e6,499311.86213598633,238664.69034538209
,,,,,,,,66,1.0503003320643313e6,458865.79011921736,234137.12209695886
,,,,,,,,67,917630.3953065141,522271.3679858607,225838.46235255204
,,,,,,,,68,822369.0182381873,551159.1932735875,265554.6120681905
,,,,,,,,69,896563.7808978498,524789.2532506319,249518.4692507629
,,,,,,,,70,999234.2139883862,687298.6446601611,205274.22964619903
,,,,,,,,71,998119.7571451692,684893.2352699892,209067.62705612357
,,,,,,,,72,972677.2925114502,589559.6382250919,201189.9672944384
,,,,,,,,73,1.0991616673533884e6,550593.3146759077,193000.3830730748
,,,,,,,,74,829122.4293565043,525288.4423904206,206465.99101049727
,,,,,,,,75,765393.9419003489,531202.2453213946,191788.15930435632
,,,,,,,,76,1.1606246865696332e6,560860.7087443037,191800.16381251562
,,,,,,,,77,1.2205744000077285e6,524335.9884404923,187486.35794357472
,,,,,,,,78,1.116793832082599e6,530118.9859719679,186320.1556427757
,,,,,,,,79,1.0327718079970988e6,482245.409955594,188884.05316721328
,,,,,,,,80,1.0006120212381966e6,550610.2736898562,191631.48752557748
,,,,,,,,81,892580.2696708943,550044.5952601933,184983.1349260123
,,,,,,,,82,840664.7538334202,507519.1341083046,174306.93329466775
,,,,,,,,83,774254.5316703006,452903.3510513457,174043.49272346724
,,,,,,,,84,782818.6548996374,443990.98563701205,163388.56306875666
,,,,,,,,85,683029.4167703274,414589.13449302013,181226.14722760505
,,,,,,,,86,730774.9863839613,360202.9542618918,224256.75125646562
,,,,,,,,87,669337.1959204166,279640.509329436,235565.5302939574
,,,,,,,,88,579844.647098635,335001.7238705102,179499.69813562295
,,,,,,,,89,611007.8326558735,383182.8008584046,154379.94996310596
,,,,,,,,90,643096.1322740084,350634.21598101215,161645.2395869795
,,,,,,,,91,729385.6842139103,420355.36862170167,149051.92043650386
,,,,,,,,92,752473.5501772752,425456.12452391617,146504.92507108336
,,,,,,,,93,814852.456904002,378473.20443898597,144341.96900017446
,,,,,,,,94,768762.1694636592,353665.05236973526,164411.02646552195
,,,,,,,,95,732180.0871921591,332794.60393787036,176592.15340455828
,,,,,,,,96,717546.1324565236,332959.17818084644,178054.01081493328
,,,,,,,,97,755409.6940048069,293591.35671732476,190784.238944236
,,,,,,,,98,726172.4859480339,329014.83901513886,149701.3386053525
,,,,,,,,99,705089.8744738167,360911.192187491,136587.93701399304
,,,,,,,,100,646221.5779878057,339189.3197776334,119019.56727650549
,,,,,,,,101,694498.3453444608,335035.36819151405,137187.5682740389
,,,,,,,,102,813145.9379406774,364704.35109463887,126788.35050467451
,,,,,,,,103,793227.3579428922,314543.899145079,108350.47144090555
,,,,,,,,104,720197.5119622112,304614.51900432503,101857.78241332334
,,,,,,,,105,609420.0440564606,293312.9513464377,111829.23159597571
,,,,,,,,106,533614.0325747072,308768.05540372565,102432.95644866074
