VOLL,Demand_Segment,Cost_of_Demand_Curtailment_per_MMBTU,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,tons_CO2_per_MMBTU,Time_Index,z1,z2,z3
1000,1,1,1,1,365,1,0.05306,1,1.49E+06,466221.0819,231656.3619
,2,0.9,0.04,,,,,2,1.57E+06,589683.1891,260399.0213
,3,0.55,0.024,,,,,3,1.31E+06,546830.2855,236150.7638
,4,0.2,0.003,,,,,4,1.51E+06,579539.5601,240273.2118
,,,,,,,,5,1.95E+06,703464.1858,274551.0555
,,,,,,,,6,1.89E+06,806223.418,295298.4488
,,,,,,,,7,1.59E+06,752187.0958,259394.5516
,,,,,,,,8,1.75E+06,788161.947,298804.6376
,,,,,,,,9,1.95E+06,706341.1401,286871.2995
,,,,,,,,10,1.93E+06,642103.5975,276753.927
,,,,,,,,11,1.95E+06,671542.7844,312147.3988
,,,,,,,,12,1.92E+06,664622.4255,310241.0803
,,,,,,,,13,1.77E+06,547505.2314,253967.9527
,,,,,,,,14,1.83E+06,517977.992,209249.0739
,,,,,,,,15,2.03E+06,711601.4633,252083.3968
,,,,,,,,16,1.82E+06,788375.8148,261926.669
,,,,,,,,17,2.11E+06,779429.2113,316557.0838
,,,,,,,,18,2.33E+06,963780.8024,370145.0456
,,,,,,,,19,2.18E+06,870997.1011,368550.1753
,,,,,,,,20,2.04E+06,816981.4274,315829.7949
,,,,,,,,21,2.06E+06,1.01E+06,364362.0191
,,,,,,,,22,2.42E+06,1.04E+06,359849.7026
,,,,,,,,23,2.52E+06,969690.2816,386472.013
,,,,,,,,24,2.16E+06,888565.0776,353294.6168
,,,,,,,,25,2.00E+06,788540.9643,296760.7085
,,,,,,,,26,1.82E+06,823858.8383,365994.6853
,,,,,,,,27,1.76E+06,953284.5842,396033.2925
,,,,,,,,28,1.92E+06,953613.9699,355739.8056
,,,,,,,,29,1.86E+06,880605.4384,340527.4926
,,,,,,,,30,1.68E+06,667176.1133,305144.9438
,,,,,,,,31,1.81E+06,796591.1223,306949.8191
,,,,,,,,32,2.01E+06,835298.4796,318147.4337
,,,,,,,,33,1.99E+06,800518.5,285170.448
,,,,,,,,34,1.84E+06,865967.792,319927.4264
,,,,,,,,35,1.81E+06,877152.5694,348155.7457
,,,,,,,,36,1.87E+06,783111.1175,320028.7614
,,,,,,,,37,2.06E+06,722682.9046,357626.5236
,,,,,,,,38,2.00E+06,731019.9309,375680.1744
,,,,,,,,39,1.95E+06,768187.7812,293642.1571
,,,,,,,,40,1.82E+06,737566.0563,281999.2384
,,,,,,,,41,1.59E+06,757794.9168,268029.1072
,,,,,,,,42,1.58E+06,707932.791,273736.9777
,,,,,,,,43,1.64E+06,811013.057,332940.627
,,,,,,,,44,1.88E+06,834343.1261,346201.2312
,,,,,,,,45,1.87E+06,805455.1983,331523.9129
